"","TOWNCODE","v39","v38","v37","v36","v35","v34","v33","v32","v31","v22","v20","v19","v18","v17","v16","v15","v14","v13","v12","v11","v10","v9","v8","v7"
"127",10017020,2.33333333333333,3.66666666666667,3.33333333333333,2.66666666666667,2.33333333333333,2,2.33333333333333,1.66666666666667,2,7,3.33333333333333,3.66666666666667,4,4.66666666666667,6.33333333333333,7.33333333333333,5.66666666666667,3.66666666666667,5,5.66666666666667,5.33333333333333,2.66666666666667,5,7
"128",10017030,2.33333333333333,3.11111111111111,3,2.77777777777778,1.875,2.625,2.25,2.33333333333333,2.375,8,6.77777777777778,6.55555555555556,7.33333333333333,6.55555555555556,6.77777777777778,7.77777777777778,6.55555555555556,7,7.66666666666667,7.55555555555556,6.66666666666667,2.22222222222222,3.11111111111111,7.55555555555556
"129",10017040,1.33333333333333,2,3,2,2,2.66666666666667,2.33333333333333,2.33333333333333,2,8,5.66666666666667,6.33333333333333,4.33333333333333,3.66666666666667,6,4.33333333333333,4.66666666666667,4,5.66666666666667,5,5,4.33333333333333,5,6
"130",10017050,2,3.14285714285714,2.71428571428571,2.14285714285714,2.14285714285714,2.71428571428571,2.28571428571429,1.85714285714286,2.28571428571429,8.2,7,8.14285714285714,7.28571428571429,6.14285714285714,7.71428571428571,7.57142857142857,7,7.28571428571429,8,7.85714285714286,6.85714285714286,2.42857142857143,3.57142857142857,8.28571428571429
"131",10017060,2.125,2.625,2.875,2.125,1.625,2.125,2,1.75,1.75,6.375,6.75,6.75,5.5,6,7,7.25,5.25,7.5,6.625,6.375,6.875,2.875,4,6.375
"132",10017070,2.42857142857143,3.42857142857143,3.14285714285714,2.28571428571429,1.42857142857143,2.28571428571429,2.28571428571429,1.71428571428571,1.71428571428571,7,7.28571428571429,7.85714285714286,6.14285714285714,6.71428571428571,7.71428571428571,8.28571428571429,7,7.71428571428571,7.57142857142857,7.42857142857143,7.71428571428571,0.857142857142857,1,7.71428571428571
"133",10018010,2.40909090909091,2.68181818181818,2.95652173913043,2.52380952380952,1.86363636363636,2.45454545454545,2.38095238095238,2,2.18181818181818,7,7.26086956521739,6.73913043478261,6.39130434782609,6.1304347826087,7.34782608695652,6.56521739130435,6.17391304347826,6.43478260869565,7.30434782608696,7.17391304347826,7.69565217391304,2.43478260869565,3.17391304347826,6.65217391304348
"134",10018020,2.14285714285714,2.92857142857143,2.92857142857143,2.30769230769231,1.64285714285714,2.42857142857143,2.28571428571429,1.85714285714286,1.78571428571429,7,6.85714285714286,6,6.35714285714286,6.21428571428571,7.14285714285714,6.5,6.71428571428571,7.14285714285714,6.85714285714286,7.28571428571429,6.71428571428571,1.5,3.42857142857143,6.78571428571429
"135",10018030,2.6,2.83333333333333,2.83333333333333,2.33333333333333,1.83333333333333,2.66666666666667,2.2,2.2,2.5,7.4,7,7,8,6.66666666666667,8,6.83333333333333,7.16666666666667,7.33333333333333,6.83333333333333,8.5,8.33333333333333,1.83333333333333,2.66666666666667,8.5
"136",10020010,2.31578947368421,3.26315789473684,3.15789473684211,2.42105263157895,1.72222222222222,2.63157894736842,2.57894736842105,1.89473684210526,2,8,7.6,7.55,6.95,7.25,7.15,7.68421052631579,6.95,7.3,7.9,7.65,7.35,1.68421052631579,2.5,7.6
"137",10020020,2.2,3.1,3,2.35,1.85,2.52631578947368,2.15,1.7,2,7.5,6.25,6.95,6,6.8,7,7.35,6.55,7.25,6.95,6.9,7.2,2.65,3.5,7.45
"138",63000010,2,2.625,2.8,2.4,1.5,2.3125,2.33333333333333,1.8,1.73333333333333,6.5,6.5625,6.0625,6.06666666666667,6.5625,7.25,6.375,6.3125,6.8125,6.4375,6.6875,6.3125,1.6875,3.1875,7.1875
"139",63000020,2.15,2.9,2.75,2.6,1.65,2.75,2.55,2.1,2.05,7.25,7.55,6.8,6.45,6.45,7.55,6.9,6.95,6.75,7.45,7.2,7.35,1.55,2.7,7.55
"140",63000030,2.18181818181818,2.76470588235294,2.88235294117647,2.44117647058824,1.67647058823529,2.39393939393939,2.38235294117647,1.85294117647059,1.79411764705882,7.55,6.91176470588235,7.47058823529412,6.20588235294118,6.44117647058824,7.47058823529412,7,6.47058823529412,6.73529411764706,7.17647058823529,7.35294117647059,6.61764705882353,1.55882352941176,2.44117647058824,7.52941176470588
"141",63000040,2.35483870967742,3.03225806451613,3.16129032258065,2.51612903225806,1.90322580645161,2.80645161290323,2.51612903225806,2.03225806451613,2.03225806451613,7.09523809523809,6.7741935483871,6.83870967741935,6.7741935483871,5.7741935483871,7.38709677419355,7.2258064516129,6.2258064516129,6.83870967741935,6.74193548387097,7.16129032258065,6.61290322580645,1.61290322580645,3.19354838709677,7.09677419354839
"142",63000050,2.33333333333333,2.77777777777778,3.11111111111111,2,1.77777777777778,2.88888888888889,2.22222222222222,2,2.11111111111111,7.5,6.55555555555556,6.22222222222222,6.55555555555556,6,6.66666666666667,6.55555555555556,6.33333333333333,6,6.77777777777778,7.66666666666667,6.55555555555556,3,4.22222222222222,6.66666666666667
"143",63000060,1.7,2.5,2.6,2.1,1.66666666666667,2.6,1.9,1.5,1.77777777777778,7.71428571428571,7.2,7.7,6.66666666666667,6.9,7.22222222222222,7,6.8,6.5,7.2,7.2,6.5,1.5,1.8,7.6
"144",63000070,2.5,3.21428571428571,3.14285714285714,2.92307692307692,1.92307692307692,2.35714285714286,2.64285714285714,2.14285714285714,2.28571428571429,7,5.14285714285714,6.64285714285714,5.85714285714286,6.21428571428571,6.78571428571429,6.28571428571429,6.57142857142857,6.57142857142857,6.78571428571429,7.42857142857143,6.07142857142857,2.42857142857143,2.92857142857143,6.92857142857143
"145",63000080,2.33333333333333,2.88888888888889,2.88888888888889,2.38888888888889,2.05555555555556,2.61111111111111,2.5,2.11111111111111,2.16666666666667,7,7.61111111111111,7.22222222222222,6.72222222222222,6.16666666666667,8.11111111111111,7.27777777777778,6.77777777777778,6.61111111111111,7.11111111111111,7.11111111111111,6.72222222222222,1.83333333333333,3.44444444444444,6.94444444444444
"146",63000090,2.4,3.1,2.9,2.4,1.8,2.1,1.9,1.6,1.6,6.14285714285714,6.5,7.2,7.1,6.2,6.8,6.2,6.3,7.3,7,7.1,6.5,1.3,3.1,7.4
"147",63000100,2.04166666666667,2.79166666666667,2.875,2.54166666666667,1.95833333333333,2.43478260869565,2.33333333333333,2.04166666666667,2.04166666666667,7.35294117647059,7.04166666666667,7.29166666666667,6.45833333333333,6.5,7.16666666666667,6.83333333333333,6.70833333333333,6.875,7.20833333333333,7.04166666666667,6.25,2.33333333333333,3.33333333333333,6.5
"148",63000110,2.3,2.85,3,2.5,1.65,2.6,2.25,1.65,1.95,6.9375,7.55,6.68421052631579,6.25,6.35,7.15,7.15,6.65,6.73684210526316,7.25,7.1,7.2,2.2,3.65,7.15
"149",63000120,1.69230769230769,3.07692307692308,2.84615384615385,2.46153846153846,1.76923076923077,2.69230769230769,2.15384615384615,1.92307692307692,2.07692307692308,7.6,7.07692307692308,7.69230769230769,6.84615384615385,6.23076923076923,8,7.30769230769231,7,6.53846153846154,7.69230769230769,7.76923076923077,6.84615384615385,2,2.76923076923077,6.84615384615385
"150",64000010,2,3.33333333333333,3,2.33333333333333,2.66666666666667,3,3,3,2.33333333333333,7,7.33333333333333,6,7.33333333333333,6.33333333333333,7.33333333333333,7.66666666666667,6.66666666666667,7.33333333333333,7.66666666666667,8,7.66666666666667,3.33333333333333,4,8
"151",64000020,2.16,3,2.92,2.52,1.96,2.64,2.56,2.04,1.96,7.46666666666667,7.04,6.56,5.96,6.24,7.28,6.6,6.64,7,6.92,7.12,6.72,1.8,3.64,6.88
"152",64000030,2.13636363636364,3.09090909090909,3.04545454545455,2.21739130434783,1.90909090909091,2.65217391304348,2,1.76190476190476,2,6.08333333333333,6.78260869565217,6.82608695652174,6.1304347826087,6.40909090909091,6.95652173913043,6.8695652173913,6.21739130434783,6.43478260869565,6.43478260869565,6.56521739130435,6.17391304347826,2.68181818181818,3.40909090909091,6.68181818181818
