v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v41,vI1,sexgp,agegp,edugp,weight,t
88,1,6,2,6,4,7,0,0,8,7,8,9,6,9,10,6,6,10,7,3, ,0,0,1,0,0,0,0,0,3,3,3,3,2,3,4,4,3,1,5,1,1,2,1.514623618,65000010
86,1,5,4,3,4,8,0,0,7,8,7,7,7,5,8,8,8,8,5,3, ,0,0,0,0,0,0,0,0,3,3,3,3,2,3,3,3,2,1,5,1,1,2,1.381732868,10002010
89,1,4,6,4,2,5,0,0,10,10,8,5,5,10,10,10,10,10,10,3, ,0,0,0,0,0,0,0,0,3,3,3,4,1,3,3,3,3,1,15,1,1,2,1.525487389,68000110
87,1,6,5,5,4,9,0,0,10,10,10,8,10,10,10,8,10,10,10,3, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,1,5,2,1,2,1.322749303,65000020
86,1,3,4,3,4,7,0,0,6,5,8,5,6,6,8,7,4,7,9,3, ,0,0,1,0,0,0,0,0,3,2,3,4,1,2,4,4,3,1,5,2,1,2,1.322749303,65000040
86,1,5,2,2,4,8,0,0,8,7,8,7,7,8,9,6,7,8,7,3, ,0,0,0,0,0,0,0,0,3,3,3,3,2,2,3,3,2,1,5,2,1,2,2.804536043,63000040
88,1,2,2,5,4,8,0,0,6,6,7,8,7,9,10,7,5,7,7,3, ,0,0,0,0,0,0,0,0,2,2,2,2,1,3,3,4,2,1,5,2,1,2,1.797237745,10017070
65,1,2,3,3,4,8,0,0,10,10,8,8,5,10,5,10,8,10,10,3, ,1,0,0,0,0,0,0,0,3,3,3,4,1,3,4,4,2,2,15,2,3,2,.793833719,65000050
61,1,2,2,1,2,5,0,0,7,7,7,7,7,8,8,7,8,10,6,3, ,0,0,0,0,0,0,0,0,2,2,2,3,2,3,3,3,2,2,5,2,3,2,.799527561,68000050
56,1,1,6,1,4,5,0,0,10,7,10,0,8,7,9,8,5,6,6,3, ,0,0,0,0,0,0,0,0,3,1,3,3,3,3,3,3,3,3,15,1,4,2,.666716379,68000020
54,1,3,2,1,4,10,0,0,10,10,10,5,7,10,10,10,10,10,10,3, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,4,1,5,1,4,2,.899425543,10017070
54,2,1,1,1,1,0,0,0,10,10,10,10,10,0,10,10,10,10,10,2, ,1,0,0,0,0,0,0,0,4,1,1,1,4,1,1,1,1,1,15,2,4,2,.578109418,65000210
43,1,4,4,1,4,10,0,0,10,10,10,10,10,10,10,8,10,8,5,3, ,1,0,0,0,0,0,1,0,3,1,1,3,2,1,3,3,1,2,5,1,5,2,.600159179,68000010
24,1,5,3,1,4,9,0,0,8,6,8,10,8,10,9,8,10,10,8,3, ,1,0,0,0,0,0,0,0,3,1,2,3,2,2,2,3,2,2,15,1,6,2,1.473993251,63000100
84,1,3,2,2,4,9,0,0,8,7,8,8,6,6,9,7,8,8,7,2, ,0,0,0,0,0,0,1,0,3,3,3,3,2,3,3,3,3,1,5,1,1,3,1.146925262,68000020
80,1,4,3,2,4,7,0,0,7,7,7,8,7,8,8,6,6,5,8,3, ,0,0,0,0,0,0,0,0,2,3,3,3,2,3,3,3,2,1,5,2,1,3,2.108567569,63000080
86,1,5,5,4,2,10,0,0,10,10,10,10,8,10,10,10,8,9,10,3, ,0,0,0,0,0,0,0,0,4,4,4,4,2,1,4,4,3,1,5,2,1,3,2.108567569,63000060
82,1,3,2,2,4,9,0,0,9,8,8,8,7,8,10,10,7,8,8,2, ,1,0,0,0,1,0,1,0,2,1,1,2,1,2,3,3,1,1,5,2,1,3,1.00163141,68000090
86,1,3,2,3,2,7,0,0,9,7,8,6,5,6,7,7,5,8,6,2, ,0,0,0,0,0,0,0,0,2,1,2,2,2,2,2,3,1,1,5,2,1,3,.994498284,65000160
46,1,5,3,5,4,10,0,0,8,8,6,8,8,10,10,8,8,10,8,3, ,0,0,0,0,0,0,1,0,1,1,1,2,1,1,3,2,1,5,15,2,5,3,.391256773,65000110
46,1,6,6,4,2,10,0,0,10,10,10,2,9,8,5,2,8,10,1,3, ,0,0,0,0,0,0,0,0,2,1,1,2,1,1,2,1,4,2,15,2,5,3,.829555322,63000030
14,1,5,6,3,4,8,0,0,10,7,10,8,8,10,10,10,6,10,10,3, ,0,0,0,0,0,0,0,0,1,1,3,2,2,3,1,2,3,2,5,1,6,3,.84283539,10018010
